earnings_tick,wall_time_s,eps,pre_mid,mid_1s,mid_2s,mid_5s,mid_10s,mid_15s,settled_mid
131,1775872056.874686,1.0845648019591856,1227.0,1226.0,1221.5,1230.5,1238.5,1233.0,1233.0
447,1775872120.0727448,1.1273266326371556,1220.0,1228.5,1225.5,1222.5,1242.0,1285.5,1285.5
696,1775872169.8784819,1.0119614417712806,1288.0,1237.0,1193.5,1161.5,1167.0,1169.5,1169.5
942,1775872219.076514,1.2139867927380246,1150.5,,1307.5,1357.0,1364.0,1353.5,1353.5
1043,1775872239.277538,0.9865733580640412,1360.5,1372.0,1388.0,1307.5,1040.5,1130.0,1130.0
1153,1775872261.289771,1.1350757805009568,1136.0,1236.5,1255.5,1275.0,1279.0,1279.0,1279.0
1303,1775872291.273056,1.0404108273526669,1297.5,1302.5,1299.0,1246.5,1142.5,1188.0,1188.0
1655,1775872361.674722,0.9392407292956338,1182.0,1175.0,1181.5,1133.0,1086.0,1079.0,1079.0
1806,1775872391.877124,1.138656642494045,1075.5,1087.0,1103.0,1199.5,1281.0,1288.0,1288.0
2003,1775872431.27148,1.026493772099789,1281.0,1281.0,1282.0,1280.5,1265.0,1173.5,1173.5
2260,1775872482.6752799,1.069543528646342,1171.0,1173.0,1175.5,1177.5,1212.0,1215.5,1215.5
2463,1775872523.268726,1.1278414123270395,1247.5,1259.5,1261.0,1264.0,1273.0,1279.0,1279.0
2656,1775872561.877343,1.0313619918381882,1278.0,1231.0,1201.5,1183.0,1178.0,1179.5,1179.5
2810,1775872592.678755,1.2267245719243285,1178.5,1183.0,1186.5,1198.5,1212.5,1375.5,1375.5
2908,1775872612.2737122,1.158895779694651,1381.0,1380.0,1376.0,1382.0,1363.0,1315.5,1315.5
3299,1775872690.473092,0.9261097765583666,1311.0,1325.0,1330.5,,989.5,1072.0,1072.0
3606,1775872751.873204,1.0568468158344615,1358.0,,1229.0,1213.5,1214.5,1207.5,1207.5
3702,1775872771.0775309,1.0849777714811375,1203.0,1197.0,1190.5,1208.5,1235.0,1226.5,1226.5
3832,1775872797.0685,1.134246208012283,1225.0,1255.5,1264.0,1272.0,1282.0,1276.0,1276.0
3999,1775872830.4711921,1.0116351521677738,1282.0,1282.0,1271.0,1224.0,1179.0,1162.0,1162.0
4186,1775872867.86971,1.0145254677508893,1145.0,1145.0,1148.5,1149.0,1161.0,1167.0,1167.0
